kepid,mass,radius,teff,bp_rp,e_bp_min_rp_interp,e_bp_min_rp_val,rrmscdpp04p5
9099452,1.01,1.2593893,5400,0.9337473,0.1215179208802083,0.201,96.36
9099455,1.074,1.0689175,5807.25,0.83883953,0.14543844117143098,0.1085,125.229
9099467,0.926,1.0258842,5344.75,0.9724951,0.16012308105572165,0.16,200.742
9099480,0.949,1.0567394,5079,1.0385723,0.18352678516356583,0.171,259.967
9099508,1.041,1.3641739,5387.258,0.9410105,0.24143510244011482,0.312,228.276
9099512,0.801,0.7123676,4924,1.1909666,0.11616219584419818,0.0267,215.379
9099560,1.033,1.549725,6345,0.7009802,0.18083404515061724,0.4333,40.081
9099584,0.924,1.6470168,5406,0.9414692,0.21721223462623424,0.5683,145.605
9099601,0.914,1.2844635,5366,0.95841694,0.20709536154842237,0.202,199.114
9109180,0.765,1.0975413,5197.3335,1.0459433,0.1356989289377797,0.307,171.53
9109405,1.401,1.07798,5407.3335,0.9338198,0.0667495739721574,0.1353,71.232
9137153,1.205,1.3706973,6045.707,0.74988556,0.1327939400018731,0.167,62.436
9137160,0.86,0.79534465,5024.6777,1.166009,0.1280846231899021,0.121,186.338
9137217,0.986,1.1934725,5375,0.93752575,0.1504816687115604,0.148,223.814
9137234,1.008,1.0338354,5464.75,0.9296446,0.13773900991843546,0.104,152.479
9137255,0.626,0.6497836,4301.5,1.5748711,0.1663042191666332,0.149,214.286
9137257,0.68,0.81688565,4943,1.1578197,0.0755455310994184,NaN,107.193
9141703,1.213,1.23127,5741.1567,0.87945366,0.198792556528252,0.241,143.544
9141737,0.854,0.7646258,4990.5,1.1244612,0.10031507531543195,0.0672,154.799
9141746,1.159,1.5231304,5444.7476,0.9019308,0.2543511227192763,0.311,178.623
9141747,0.995,0.80831814,5340,0.9955187,0.12033452788232817,0.0225,196.536
9141751,1.156,1.1711043,5952,0.75562763,0.12878415187788195,0.0317,64.153
9141755,0.839,1.1350331,5407,0.9326916,0.07343132607399575,NaN,56.232
9141761,0.552,0.6632442,4676.5,1.4208755,0.18336366572142787,0.226,223.607
